target_id	length	eff_length	est_counts	tpm
XM_014076697.1	594	415	0	0
XM_014076698.1	1599	1420	0	0
XM_014076699.1	1512	1333	0	0
XM_014076700.1	1479	1300	0	0
XM_014076701.1	1074	895	5	7.89611
XM_014076702.1	1794	1615	0	0
XM_014076703.1	1044	865	2	3.26799
XM_014076704.1	1512	1333	0	0
XM_014076705.1	1659	1480	0	0
XM_014076706.1	1608	1429	0	0
XM_014076707.1	1680	1501	0	0
XM_014076708.1	1656	1477	0	0
XM_014076709.1	1083	904	3	4.6905
XM_014076710.1	1164	985	2	2.86986
XM_014076711.1	858	679	3	6.24479
XM_014076712.1	1320	1141	0	0
XM_014076713.1	1089	910	7	10.8723
XM_014076714.1	1572	1393	1	1.01465
XM_014076715.1	930	751	0	0
XM_014076716.1	606	427	0	0
XM_014076717.1	1008	829	3	5.11485
XM_014076718.1	1269	1090	4	5.1868
XM_014076719.1	1035	856	1	1.65117
XM_014076720.1	1317	1138	2	2.48401
XM_014076721.1	1023	844	0	0
XM_014076722.1	3480	3301	0	0
XM_014076723.1	1911	1732	25	20.4013
XM_014076724.1	621	442	4	12.791
XM_014076725.1	1329	1150	5	6.14523
XM_014076726.1	1839	1660	8	6.81159
XM_014076727.1	1011	832	1	1.6988
XM_014076728.1	1023	844	3	5.02395
XM_014076729.1	993	814	2	3.47274
XM_014076730.1	4050	3871	11	4.01639
XM_014076731.1	1710	1531	1	0.92319
XM_014076732.1	465	286	1	4.94197
XM_014076733.1	1083	904	0	0
XM_014076734.1	201	27.2129	0	0
XM_014076735.1	750	571	6	14.8519
XM_014076736.1	2883	2704	0	0
XM_014076737.1	2274	2095	0	0
XM_014076738.1	2487	2308	1	0.612393
XM_014076739.1	486	307	2	9.20784
XM_014076740.1	537	358	0	0
XM_014076741.1	426	247	4	22.8891
XM_014076742.1	1119	940	0	0
XM_014076743.1	978	799	1	1.76897
XM_014076744.1	1236	1057	1	1.33718
XM_014076745.1	2007	1828	2	1.54639
