target_id	length	eff_length	est_counts	tpm
XM_014076697.1	594	415	0	0
XM_014076698.1	1599	1420	0	0
XM_014076699.1	1512	1333	0	0
XM_014076700.1	1479	1300	0	0
XM_014076701.1	1074	895	51	16.7732
XM_014076702.1	1794	1615	0	0
XM_014076703.1	1044	865	12	4.08351
XM_014076704.1	1512	1333	0	0
XM_014076705.1	1659	1480	0	0
XM_014076706.1	1608	1429	1	0.205985
XM_014076707.1	1680	1501	4	0.784418
XM_014076708.1	1656	1477	0	0
XM_014076709.1	1083	904	9	2.9305
XM_014076710.1	1164	985	23	6.87321
XM_014076711.1	858	679	19	8.23668
XM_014076712.1	1320	1141	5	1.28989
XM_014076713.1	1089	910	56	18.114
XM_014076714.1	1572	1393	11	2.32439
XM_014076715.1	930	751	8	3.13558
XM_014076716.1	606	427	0	0
XM_014076717.1	1008	829	19	6.74633
XM_014076718.1	1269	1090	14	3.78068
XM_014076719.1	1035	856	1	0.34387
XM_014076720.1	1317	1138	48	12.4156
XM_014076721.1	1023	844	10	3.48759
XM_014076722.1	3480	3301	7	0.624196
XM_014076723.1	1911	1732	188	31.9505
XM_014076724.1	621	442	14	9.32339
XM_014076725.1	1329	1150	25	6.39897
XM_014076726.1	1839	1660	60	10.6393
XM_014076727.1	1011	832	6	2.12274
XM_014076728.1	1023	844	8	2.79007
XM_014076729.1	993	814	8	2.8929
XM_014076730.1	4050	3871	65	4.94263
XM_014076731.1	1710	1531	14	2.69167
XM_014076732.1	465	286	15	15.4381
XM_014076733.1	1083	904	11	3.58173
XM_014076734.1	201	27.2129	0	0
XM_014076735.1	750	571	40	20.6202
XM_014076736.1	2883	2704	15	1.63287
XM_014076737.1	2274	2095	8	1.12402
XM_014076738.1	2487	2308	24	3.06086
XM_014076739.1	486	307	4	3.83522
XM_014076740.1	537	358	1	0.822215
XM_014076741.1	426	247	30	35.7514
XM_014076742.1	1119	940	5	1.56571
XM_014076743.1	978	799	1	0.368402
XM_014076744.1	1236	1057	0	0
