target_id	length	eff_length	est_counts	tpm
XM_014076697.1	594	415	0	0
XM_014076698.1	1599	1420	1	2.66157
XM_014076699.1	1512	1333	0	0
XM_014076700.1	1479	1300	0	0
XM_014076701.1	1074	895	3	12.6685
XM_014076702.1	1794	1615	1	2.3402
XM_014076703.1	1044	865	0	0
XM_014076704.1	1512	1333	0	0
XM_014076705.1	1659	1480	0	0
XM_014076706.1	1608	1429	0	0
XM_014076707.1	1680	1501	0	0
XM_014076708.1	1656	1477	0	0
XM_014076709.1	1083	904	0	0
XM_014076710.1	1164	985	0	0
XM_014076711.1	858	679	2	11.1323
XM_014076712.1	1320	1141	0	0
XM_014076713.1	1089	910	5	20.7661
XM_014076714.1	1572	1393	2	5.42631
XM_014076715.1	930	751	0	0
XM_014076716.1	606	427	0	0
XM_014076717.1	1008	829	1	4.55902
XM_014076718.1	1269	1090	1	3.46736
XM_014076719.1	1035	856	0	0
XM_014076720.1	1317	1138	8	26.5689
XM_014076721.1	1023	844	1	4.47799
XM_014076722.1	3480	3301	0	0
XM_014076723.1	1911	1732	3	6.54635
XM_014076724.1	621	442	4	34.2029
XM_014076725.1	1329	1150	5	16.4323
XM_014076726.1	1839	1660	10	22.7676
XM_014076727.1	1011	832	0	0
XM_014076728.1	1023	844	2	8.95598
XM_014076729.1	993	814	1	4.64303
XM_014076730.1	4050	3871	3	2.92903
XM_014076731.1	1710	1531	2	4.9372
XM_014076732.1	465	286	5	66.0739
XM_014076733.1	1083	904	1	4.18078
XM_014076734.1	201	27.2129	0	0
XM_014076735.1	750	571	2	13.2379
XM_014076736.1	2883	2704	2	2.79543
XM_014076737.1	2274	2095	2	3.60804
XM_014076738.1	2487	2308	1	1.63753
XM_014076739.1	486	307	0	0
XM_014076740.1	537	358	0	0
XM_014076741.1	426	247	3	45.9039
XM_014076742.1	1119	940	3	12.062
XM_014076743.1	978	799	1	4.73019
XM_014076744.1	1236	1057	0	0
XM_014076745.1	2007	1828	5	10.3376
XM_014076746.1	2358	2179	4	6.93791
XM_014076747.1	1359	1180	0	0
XM_014076748.1	1296	1117	2	6.7671
XM_014076749.1	1572	1393	1	2.71315
XM_014076750.1	3171	2992	1	1.26318
XM_014076751.1	828	649	0	0
XM_014076752.1	1035	856	0	0
XM_014076753.1	813	634	0	0
XM_014076754.1	1938	1759	114.256	245.494
XM_014076755.1	843	664	1	5.6919
XM_014076756.1	1044	865	1	4.36928
XM_014076757.1	1440	1261	0	0
XM_014076758.1	408	229	2	33.0081
XM_014076759.1	4611	4432	5	4.26379
XM_014076760.1	1224	1045	1	3.61667
XM_014076761.1	246	67.0317	0	0
XM_014076762.1	2310	2131	1	1.77355
XM_014076763.1	690	511	6	44.3768
XM_014076764.1	1014	835	9	40.7363
XM_014076765.1	1500	1321	2	5.72207
XM_014076766.1	1938	1759	3	6.44586
XM_014076767.1	1566	1387	5	13.6245
XM_014076768.1	978	799	1	4.73019
XM_014076769.1	2301	2122	5	8.90534
XM_014076770.1	1020	841	1	4.49397
XM_014076771.1	900	721	3	15.7258
XM_014076772.1	819	640	2	11.8107
XM_014076773.1	1596	1417	0	0
XM_014076774.1	1644	1465	1	2.57981
XM_014076775.1	1863	1684	3	6.73294
XM_014076776.1	1635	1456	1	2.59576
XM_014076777.1	1077	898	0	0
XM_014076778.1	1245	1066	4	14.1817
