target_id	length	eff_length	est_counts	tpm
NM_001178148.1	3483	3304	41	3.82819
NM_001178149.1	3825	3646	38	3.21526
NM_001178150.1	621	442	221	154.248
NM_001178151.1	1929	1750	2944.62	519.088
NM_001178152.1	648	469	17	11.1822
NM_001178153.1	597	418	9	6.64225
NM_001178154.1	780	601	8	4.10643
NM_001178155.2	1482	1303	8	1.89407
NM_001178156.1	1878	1699	9	1.63417
NM_001178157.1	1185	1006	82	25.1458
NM_001178158.2	1218	1039	14	4.15683
NM_001178159.1	768	589	9	4.71386
NM_001178160.1	1200	1021	5	1.51075
NM_001178161.1	1908	1729	51	9.09965
NM_001178162.2	4071	3892	82	6.49966
NM_001178163.1	978	799	0	0
NM_001178164.1	3396	3217	32	3.06866
NM_001178165.2	1002	823	3	1.12453
NM_001178166.1	2514	2335	29	3.83143
NM_001178167.1	1554	1375	16	3.58977
NM_001178168.1	2280	2101	86	12.6276
NM_001178169.1	4308	4129	30	2.24143
NM_001178170.2	921	742	8	3.3261
NM_001178171.2	4068	3889	48	3.80761
NM_001178172.1	786	607	3	1.52469
NM_001178173.1	1587	1408	3	0.657306
NM_001178174.1	4416	4237	58	4.22298
NM_001178175.1	354	175	13	22.9168
NM_001178176.1	2283	2104	13	1.90611
NM_001178177.1	1140	961	13	4.1732
NM_001178178.1	522	343	1	0.899405
NM_001178179.1	870	691	3	1.33935
NM_001178180.1	3009	2830	157	17.1144
NM_001178181.1	1110	931	11	3.64496
NM_001178182.1	804	625	2	0.987187
NM_001178183.1	1503	1324	1011	235.566
NM_001178184.1	810	631	1	0.4889
NM_001178185.1	1743	1564	12	2.36698
NM_001178186.1	2565	2386	38	4.91318
NM_001178187.1	1248	1069	22	6.34884
NM_001178188.1	2358	2179	36	5.09676
NM_001178189.1	513	334	28	25.8619
NM_001178191.1	357	178	0	0
NM_001178192.2	1869	1690	5	0.91271
NM_001178193.1	1989	1810	5	0.852198
NM_001178194.1	741	562	3	1.64677
NM_001178195.2	3144	2965	34	3.53756
NM_001178196.2	2352	2173	46	6.53051
NM_001178197.1	2142	1963	3	0.471466
NM_001178198.1	543	364	6	5.0851
NM_001178199.2	2643	2464	38	4.75765
NM_001178200.1	1509	1330	10	2.31952
NM_001178201.2	639	460	3	2.01193
NM_001178202.2	1149	970	36	11.4493
NM_001178203.1	1254	1075	25	7.17432
NM_001178204.1	1374	1195	1	0.258156
NM_001178205.1	3969	3790	15.367	1.25083
NM_001178206.2	285	106	0	0
NM_001178208.1	1782	1603	5	0.962245
NM_001178209.1	1620	1441	11	2.35493
NM_001178210.1	1281	1102	16	4.47907
NM_001178211.1	1866	1687	32	5.85173
NM_001178212.1	828	649	2	0.950681
NM_001178213.1	3591	3412	179.118	16.195
NM_001178214.1	1323	1144	2.48655e-08	6.70534e-09
NM_001178215.2	2130	1951	34	5.37614
NM_001178216.1	921	742	21	8.73101
NM_001178217.1	1308	1129	2	0.546494
NM_001178218.2	2925	2746	7	0.786406
NM_001178219.1	168	12.9312	0	0
NM_001178220.2	540	361	1	0.854559
NM_001178221.1	708	529	13	7.58118
NM_001178222.1	705	526	3	1.75948
NM_001178223.1	225	46.6066	0	0
NM_001178224.1	897	718	9.95413	4.27689
NM_001178225.1	705	526	0	0
NM_001178226.1	2064	1885	0	0
NM_001178227.1	3567	3388	43	3.91538
NM_001178230.1	4614	4435	22.2375	1.54683
NM_001178235.1	300	121	0	0
NM_001178236.1	486	307	4	4.01949
NM_001178239.1	1404	1225	8.09745	2.03921
NM_001178241.1	315	136	11	24.9519
NM_001178242.1	396	217	20	28.4328
NM_001178243.1	399	220	31	43.4699
NM_001178244.1	7482	7303	89	3.75957
NM_001178245.1	2931	2752	38	4.25975
NM_001178246.1	543	364	10	8.47516
NM_001178247.1	3735	3556	154	13.3601
NM_001178248.2	2523	2344	13	1.71094
NM_001178249.1	2031	1852	16	2.66519
NM_001178250.1	843	664	4	1.85841
NM_001178251.1	2280	2101	58	8.51631
NM_001178253.1	1206	1027	1	0.300385
NM_001178254.2	2685	2506	26	3.20068
NM_001178255.1	1581	1402	8	1.76032
NM_001178256.1	1062	883	2	0.698745
NM_001178257.1	4740	4561	162	10.9573
NM_001178258.1	402	223	0	0
NM_001178259.1	1563	1384	9	2.00611
NM_001178260.1	1725	1546	19	3.79135
NM_001178261.1	435	256	2	2.41012
NM_001178262.1	3402	3223	196	18.7605
NM_001178263.1	2607	2428	12	1.52469
NM_001178264.1	2055	1876	21	3.45331
NM_001178265.1	438	259	0	0
NM_001178266.1	288	109	5	14.1512
NM_001178267.1	570	391	88.9817	70.2058
NM_001178268.1	321	142	1	2.17251
NM_001178269.1	1131	952	2	0.648101
NM_001178270.1	957	778	62	24.5845
NM_001178271.1	1017	838	6	2.2088
NM_001178272.1	1146	967	20	6.38047
NM_001178273.1	1038	859	4	1.43653
NM_001178274.1	4542	4363	45	3.18183
NM_001178275.1	2118	1939	13	2.06831
NM_001178276.1	774	595	14	7.25873
NM_001178277.1	3078	2899	14	1.4898
NM_001178278.1	699	520	5	2.96631
NM_001178279.1	1740	1561	15	2.96441
NM_001178280.1	660	481	7	4.48954
NM_001178281.1	726	547	40	22.5591
NM_001178282.1	1920	1741	11	1.94914
NM_001178283.1	774	595	0	0
NM_001178284.1	369	190	0	0
NM_001178285.1	1374	1195	19	4.90495
NM_001178286.1	1326	1147	15	4.03438
NM_001178287.1	4146	3967	197	15.3198
NM_001178289.1	417	238	0	0
NM_001178290.1	879	700	9	3.96638
NM_001178291.1	2007	1828	41	6.91922
NM_001178292.1	2496	2317	30	3.99434
NM_001178294.1	1578	1399	11	2.42563
NM_001178295.1	1257	1078	15	4.29261
NM_001178296.2	1407	1228	75	18.8414
NM_001178297.2	627	448	5	3.44303
NM_001178298.1	1272	1093	58	16.3703
NM_001178299.1	582	403	6	4.59299
NM_001178300.1	2064	1885	18	2.94585
NM_001178301.1	2091	1912	29	4.67907
NM_001178303.1	3336	3157	37	3.61557
NM_001178304.1	786	607	25	12.7058
NM_001178306.1	3447	3268	26	2.45437
NM_001178307.2	2244	2065	45	6.72267
NM_001178308.2	981	802	7	2.69261
NM_001178309.1	1290	1111	13	3.60976
NM_001178312.1	603	424	66.5	48.3844
NM_001178314.1	1068	889	11	3.81716
NM_001178315.1	1950	1771	117	20.3806
NM_001178316.1	3219	3040	154	15.6277
NM_001178318.1	354	175	6	10.577
NM_001178319.1	4509	4330	78	5.5572
NM_001178320.2	1626	1447	7	1.49238
NM_001178321.1	1107	928	12.0455	4.0043
NM_001178322.1	1377	1198	3	0.772527
NM_001178324.2	2277	2098	16.2916	2.39556
NM_001178325.1	2943	2764	74	8.2593
NM_001178326.1	1401	1222	13	3.28187
NM_001178327.1	414	235	19.1579	25.1495
NM_001178328.2	8364	8185	38	1.43223
NM_001178329.1	1380	1201	10	2.56866
NM_001178330.1	534	355	7	6.08302
NM_001178331.2	1266	1087	46	13.055
NM_001178332.1	393	214	65	93.702
NM_001178333.1	663	484	9	5.73649
NM_001178335.1	813	634	7	3.40611
NM_001178337.2	2265	2086	20	2.95777
NM_001178338.1	1383	1204	14	3.58716
NM_001178339.2	1638	1459	71	15.0125
NM_001178341.1	3354	3175	59	5.73268
NM_001178342.1	648	469	3	1.97332
NM_001178343.1	1461	1282	11	2.647
NM_001178344.1	3117	2938	23	2.41505
NM_001178345.2	3456	3277	78	7.3429
NM_001178346.2	3033	2854	22	2.37803
NM_001178347.1	591	412	16	11.9804
NM_001178349.1	2343	2164	35	4.98954
NM_001178350.1	861	682	16	7.23744
NM_001178351.1	1422	1243	30	7.4456
NM_001178352.2	1302	1123	9	2.47236
NM_001178353.1	642	463	14	9.32817
NM_001178354.1	1494	1315	12	2.81517
NM_001178355.2	2211	2032	25	3.79547
NM_001178356.1	1647	1468	10	2.10147
NM_001178357.1	312	133	28.8525	66.9238
NM_001178358.1	411	232	31.3673	41.7099
NM_001178359.1	864	685	120	54.0431
NM_001178361.1	390	211	2	2.92413
NM_001178362.1	612	433	6	4.27477
NM_001178363.1	1794	1615	33	6.30363
NM_001178364.1	387	208	26	38.562
NM_001178365.1	2757	2578	35	4.18827
NM_001178366.1	1101	922	4	1.33838
NM_001178367.1	2100	1921	11	1.7665
NM_001178368.1	1587	1408	6	1.31461
