target_id	length	eff_length	est_counts	tpm
NM_001178148.1	3483	3304	36	1.91724
NM_001178149.1	3825	3646	28	1.35131
NM_001178150.1	621	442	339	134.956
NM_001178151.1	1929	1750	1282.11	128.914
NM_001178152.1	648	469	33	12.381
NM_001178153.1	597	418	10	4.20957
NM_001178154.1	780	601	3	0.878336
NM_001178155.2	1482	1303	9	1.21538
NM_001178156.1	1878	1699	7	0.724967
NM_001178157.1	1185	1006	153	26.7613
NM_001178158.2	1218	1039	13	2.20162
NM_001178159.1	768	589	13	3.88367
NM_001178160.1	1200	1021	4	0.689363
NM_001178161.1	1908	1729	80	8.14158
NM_001178162.2	4071	3892	64	2.89348
NM_001178163.1	978	799	0	0
NM_001178164.1	3396	3217	78	4.26636
NM_001178165.2	1002	823	9	1.92423
NM_001178166.1	2514	2335	66	4.9736
NM_001178167.1	1554	1375	37	4.73492
NM_001178168.1	2280	2101	217	18.1739
NM_001178169.1	4308	4129	25	1.06539
NM_001178170.2	921	742	39	9.24857
NM_001178171.2	4068	3889	107.128	4.84705
NM_001178172.1	786	607	2	0.579769
NM_001178173.1	1587	1408	5	0.624858
NM_001178174.1	4416	4237	99	4.11141
NM_001178175.1	354	175	11	11.0603
NM_001178176.1	2283	2104	10	0.836312
NM_001178177.1	1140	961	5	0.915504
NM_001178178.1	522	343	11	5.64303
NM_001178179.1	870	691	2	0.509291
NM_001178180.1	3009	2830	463	28.7878
NM_001178181.1	1110	931	43	8.12704
NM_001178182.1	804	625	0	0
NM_001178183.1	1503	1324	4177	555.124
NM_001178184.1	810	631	6	1.67315
NM_001178185.1	1743	1564	33	3.71271
NM_001178186.1	2565	2386	52	3.83484
NM_001178187.1	1248	1069	65	10.6992
NM_001178188.1	2358	2179	35	2.82634
NM_001178189.1	513	334	50	26.3413
NM_001178191.1	357	178	5	4.9427
NM_001178192.2	1869	1690	6	0.62471
NM_001178193.1	1989	1810	10	0.972154
NM_001178194.1	741	562	16	5.00954
NM_001178195.2	3144	2965	34	2.01775
NM_001178196.2	2352	2173	48	3.88683
NM_001178197.1	2142	1963	3	0.268915
NM_001178198.1	543	364	3	1.45022
NM_001178199.2	2643	2464	31	2.21378
NM_001178200.1	1509	1330	9	1.19071
NM_001178201.2	639	460	5	1.91261
NM_001178202.2	1149	970	45	8.16309
NM_001178203.1	1254	1075	7	1.14579
NM_001178204.1	1374	1195	7	1.03073
NM_001178205.1	3969	3790	11.2549	0.522538
NM_001178206.2	285	106	0	0
NM_001178208.1	1782	1603	1	0.109769
NM_001178209.1	1620	1441	39	4.76227
NM_001178210.1	1281	1102	13	2.07575
NM_001178211.1	1866	1687	59	6.1539
NM_001178212.1	828	649	5	1.35562
NM_001178213.1	3591	3412	167.394	8.63264
NM_001178214.1	1323	1144	0.00866511	0.00133279
NM_001178215.2	2130	1951	52	4.68986
NM_001178216.1	921	742	103	24.4257
NM_001178217.1	1308	1129	12	1.87026
NM_001178218.2	2925	2746	15	0.96118
NM_001178219.1	168	12.9312	0	0
NM_001178220.2	540	361	1	0.487424
NM_001178221.1	708	529	14	4.65679
NM_001178222.1	705	526	6	2.00715
NM_001178223.1	225	46.6066	0	0
NM_001178224.1	897	718	4.45871	1.0927
NM_001178225.1	705	526	4	1.3381
NM_001178226.1	2064	1885	0	0
NM_001178227.1	3567	3388	71	3.68747
NM_001178230.1	4614	4435	18.9778	0.752951
NM_001178235.1	300	121	0.5	0.727107
NM_001178236.1	486	307	7.11903	4.08034
NM_001178239.1	1404	1225	39.9336	5.73609
NM_001178241.1	315	136	32	41.4023
NM_001178242.1	396	217	86.4943	70.1361
NM_001178243.1	399	220	63	50.3885
NM_001178244.1	7482	7303	355	8.55344
NM_001178245.1	2931	2752	40	2.55756
NM_001178246.1	543	364	4	1.93363
NM_001178247.1	3735	3556	146	7.22445
NM_001178248.2	2523	2344	12	0.900819
NM_001178249.1	2031	1852	20	1.90022
NM_001178250.1	843	664	14	3.71
NM_001178251.1	2280	2101	47	3.93628
NM_001178253.1	1206	1027	1	0.171334
NM_001178254.2	2685	2506	24	1.68517
NM_001178255.1	1581	1402	8	1.00405
NM_001178256.1	1062	883	23	4.58333
