target_id	length	eff_length	est_counts	tpm
XM_014076697.1	594	415	0	0
XM_014076698.1	1599	1420	0	0
XM_014076699.1	1512	1333	0	0
XM_014076700.1	1479	1300	1	0.194583
XM_014076701.1	1074	895	63	17.806
XM_014076702.1	1794	1615	2	0.313261
XM_014076703.1	1044	865	7	2.04706
XM_014076704.1	1512	1333	1	0.189766
XM_014076705.1	1659	1480	1	0.170918
XM_014076706.1	1608	1429	0	0
XM_014076707.1	1680	1501	5	0.842633
XM_014076708.1	1656	1477	1	0.171265
XM_014076709.1	1083	904	1	0.279821
XM_014076710.1	1164	985	15	3.85216
XM_014076711.1	858	679	15	5.58818
XM_014076712.1	1320	1141	4	0.886795
XM_014076713.1	1089	910	101	28.0756
XM_014076714.1	1572	1393	3	0.544777
XM_014076715.1	930	751	3	1.01049
XM_014076716.1	606	427	1	0.592408
XM_014076717.1	1008	829	9	2.74623
XM_014076718.1	1269	1090	9	2.08865
XM_014076719.1	1035	856	3	0.886536
XM_014076720.1	1317	1138	21	4.66795
XM_014076721.1	1023	844	3	0.899141
XM_014076722.1	3480	3301	8	0.613047
XM_014076723.1	1911	1732	127	18.5483
XM_014076724.1	621	442	17	9.72917
XM_014076725.1	1329	1150	29	6.37895
XM_014076726.1	1839	1660	39	5.943
XM_014076727.1	1011	832	5	1.52018
XM_014076728.1	1023	844	3	0.899141
XM_014076729.1	993	814	4	1.24304
XM_014076730.1	4050	3871	41	2.67923
XM_014076731.1	1710	1531	4	0.660897
XM_014076732.1	465	286	16	14.1515
XM_014076733.1	1083	904	7	1.95875
XM_014076734.1	201	27.2129	0	0
XM_014076735.1	750	571	8	3.54407
XM_014076736.1	2883	2704	8	0.748397
XM_014076737.1	2274	2095	3	0.362232
XM_014076738.1	2487	2308	13	1.42481
XM_014076739.1	486	307	4	3.29587
XM_014076740.1	537	358	1	0.706588
XM_014076741.1	426	247	19	19.4583
XM_014076742.1	1119	940	3	0.807314
XM_014076743.1	978	799	1	0.316594
