target_id	length	eff_length	est_counts	tpm
NM_001178148.1	3483	3304	12	1.4332
NM_001178149.1	3825	3646	12	1.29876
NM_001178150.1	621	442	259	231.229
NM_001178151.1	1929	1750	342.272	77.1787
NM_001178152.1	648	469	16	13.4621
NM_001178153.1	597	418	1	0.944035
NM_001178154.1	780	601	4	2.62633
NM_001178155.2	1482	1303	4	1.21138
NM_001178156.1	1878	1699	8	1.85806
NM_001178157.1	1185	1006	92	36.0873
NM_001178158.2	1218	1039	5	1.89897
NM_001178159.1	768	589	8	5.35968
NM_001178160.1	1200	1021	2	0.77298
NM_001178161.1	1908	1729	36	8.21621
NM_001178162.2	4071	3892	36	3.65001
NM_001178163.1	978	799	0	0
NM_001178164.1	3396	3217	46	5.64249
NM_001178165.2	1002	823	5	2.39737
NM_001178166.1	2514	2335	29	4.90089
NM_001178167.1	1554	1375	13	3.73083
NM_001178168.1	2280	2101	98	18.4062
NM_001178169.1	4308	4129	36	3.4405
NM_001178170.2	921	742	33	17.5499
NM_001178171.2	4068	3889	32.4176	3.28933
NM_001178172.1	786	607	0	0
NM_001178173.1	1587	1408	0	0
NM_001178174.1	4416	4237	59	5.49487
NM_001178175.1	354	175	2	4.50979
NM_001178176.1	2283	2104	3	0.562652
NM_001178177.1	1140	961	7	2.87434
NM_001178178.1	522	343	6	6.90274
NM_001178179.1	870	691	5	2.85533
NM_001178180.1	3009	2830	278	38.7635
NM_001178181.1	1110	931	18	7.62934
NM_001178182.1	804	625	1	0.63137
NM_001178183.1	1503	1324	2185	651.22
NM_001178184.1	810	631	2	1.25073
NM_001178185.1	1743	1564	23	5.80304
NM_001178186.1	2565	2386	13	2.14999
NM_001178187.1	1248	1069	46	16.9803
NM_001178188.1	2358	2179	17	3.07862
NM_001178189.1	513	334	21	24.8106
NM_001178191.1	357	178	2	4.43378
NM_001178192.2	1869	1690	7	1.63446
NM_001178193.1	1989	1810	2	0.436029
NM_001178194.1	741	562	4	2.80859
NM_001178195.2	3144	2965	14	1.86323
NM_001178196.2	2352	2173	38	6.90062
NM_001178197.1	2142	1963	5	1.00511
NM_001178198.1	543	364	2	2.16817
