target_id	length	eff_length	est_counts	tpm
XM_014076697.1	594	415	1	2.22039
XM_014076698.1	1599	1420	0	0
XM_014076699.1	1512	1333	0	0
XM_014076700.1	1479	1300	1	0.708816
XM_014076701.1	1074	895	6	6.17739
XM_014076702.1	1794	1615	0	0
XM_014076703.1	1044	865	5	5.32636
XM_014076704.1	1512	1333	0	0
XM_014076705.1	1659	1480	0	0
XM_014076706.1	1608	1429	0	0
XM_014076707.1	1680	1501	2	1.2278
XM_014076708.1	1656	1477	1	0.623873
XM_014076709.1	1083	904	2	2.03863
XM_014076710.1	1164	985	7	6.54845
XM_014076711.1	858	679	5	6.78543
XM_014076712.1	1320	1141	0	0
XM_014076713.1	1089	910	15	15.1889
XM_014076714.1	1572	1393	2	1.32299
XM_014076715.1	930	751	1	1.22698
XM_014076716.1	606	427	2	4.31598
XM_014076717.1	1008	829	6	6.6692
XM_014076718.1	1269	1090	3	2.53613
XM_014076719.1	1035	856	0	0
XM_014076720.1	1317	1138	7	5.66804
XM_014076721.1	1023	844	1	1.09178
XM_014076722.1	3480	3301	0	0
XM_014076723.1	1911	1732	39	20.7488
XM_014076724.1	621	442	9	18.7628
XM_014076725.1	1329	1150	6	4.80762
XM_014076726.1	1839	1660	18	9.99174
XM_014076727.1	1011	832	1	1.10753
XM_014076728.1	1023	844	1	1.09178
XM_014076729.1	993	814	0	0
XM_014076730.1	4050	3871	21	4.99888
XM_014076731.1	1710	1531	1	0.601869
XM_014076732.1	465	286	3	9.66567
XM_014076733.1	1083	904	1	1.01932
XM_014076734.1	201	27.2129	0	0
XM_014076735.1	750	571	3	4.8413
XM_014076736.1	2883	2704	4	1.36311
XM_014076737.1	2274	2095	1	0.439838
XM_014076738.1	2487	2308	8	3.19397
XM_014076739.1	486	307	1	3.0015
XM_014076740.1	537	358	0	0
XM_014076741.1	426	247	7	26.1143
XM_014076742.1	1119	940	2	1.96055
XM_014076743.1	978	799	1	1.15327
XM_014076744.1	1236	1057	1	0.87177
XM_014076745.1	2007	1828	6	3.02449
XM_014076746.1	2358	2179	12	5.07459
XM_014076747.1	1359	1180	2	1.5618
XM_014076748.1	1296	1117	3	2.47483
XM_014076749.1	1572	1393	1	0.661494
XM_014076750.1	3171	2992	4	1.2319
XM_014076751.1	828	649	0	0
XM_014076752.1	1035	856	5	5.38236
XM_014076753.1	813	634	3	4.36022
XM_014076754.1	1938	1759	4.1156	2.15598
XM_014076755.1	843	664	7	9.7142
XM_014076756.1	1044	865	11	11.718
XM_014076757.1	1440	1261	1	0.730738
XM_014076758.1	408	229	11	44.2623
XM_014076759.1	4611	4432	11	2.28702
XM_014076760.1	1224	1045	0	0
XM_014076761.1	246	67.0317	1	13.7466
XM_014076762.1	2310	2131	0	0
XM_014076763.1	690	511	23	41.4748
XM_014076764.1	1014	835	5	5.51773
XM_014076765.1	1500	1321	1	0.697548
XM_014076766.1	1938	1759	2	1.04771
XM_014076767.1	1566	1387	2	1.32871
XM_014076768.1	978	799	1	1.15327
XM_014076769.1	2301	2122	4	1.73697
XM_014076770.1	1020	841	8	8.76538
XM_014076771.1	900	721	4	5.11213
XM_014076772.1	819	640	1	1.43978
XM_014076773.1	1596	1417	10	6.5029
XM_014076774.1	1644	1465	2	1.25797
XM_014076775.1	1863	1684	1	0.547186
XM_014076776.1	1635	1456	14	8.8602
XM_014076777.1	1077	898	2	2.05225
XM_014076778.1	1245	1066	1	0.86441
XM_014076779.1	2139	1960	30	14.104
XM_014076780.1	561	382	4	9.6488
XM_014076781.1	1668	1489	22	13.6146
XM_014076782.1	2472	2293	12	4.8223
XM_014076783.1	1971	1792	3	1.54262
XM_014076784.1	2157	1978	1	0.465855
XM_014076785.1	1722	1543	3	1.79156
XM_014076786.1	1437	1258	4	2.92992
XM_014076787.1	1044	865	2	2.13055
XM_014076788.1	273	94.0001	2	19.6055
XM_014076789.1	2721	2542	7	2.53746
XM_014076790.1	1047	868	6	6.36954
XM_014076791.1	2358	2179	18	7.61188
XM_014076792.1	741	562	4	6.55844
XM_014076793.1	1296	1117	1	0.824943
XM_014076794.1	1524	1345	4	2.7404
XM_014076795.1	2724	2545	4	1.44827
XM_014076796.1	4428	4249	10	2.16865
XM_014076797.1	2211	2032	18	8.16255
XM_014076798.1	1335	1156	30	23.9133
XM_014076799.1	1686	1507	1	0.611454
XM_014076800.1	1242	1063	6	5.2011
XM_014076801.1	1650	1471	2	1.25284
XM_014076802.1	2634	2455	3	1.12602
XM_014076803.1	1947	1768	0	0
XM_014076804.1	6549	6370	0	0
XM_014076805.1	888	709	1	1.29966
XM_014076806.1	2529	2350	736	288.594
XM_014076807.1	2142	1963	3	1.40824
XM_014076808.1	1248	1069	1	0.861984
XM_014076809.1	1119	940	2	1.96055
XM_014076810.1	633	454	8	16.2372
XM_014076811.1	441	262	6	21.1022
XM_014076812.1	2499	2320	35	13.9013
XM_014076813.1	1008	829	8	8.89226
XM_014076814.1	1296	1117	1	0.824943
XM_014076815.1	231	52.2911	0	0
XM_014076816.1	963	784	11	12.9287
XM_014076817.1	741	562	5	8.19805
XM_014076818.1	1752	1573	4	2.34319
XM_014076819.1	903	724	2	2.54547
XM_014076820.1	519	340	167	452.6
XM_014076821.1	2538	2359	5	1.95308
XM_014076822.1	1551	1372	1	0.671619
XM_014076823.1	1665	1486	0	0
XM_014076824.1	1209	1030	0	0
XM_014076825.1	1209	1030	0	0
XM_014076826.1	1290	1111	6	4.97639
XM_014076827.1	900	721	0	0
XM_014076828.1	2160	1981	3	1.39545
XM_014076829.1	255	76.0064	9	109.111
XM_014076830.1	537	358	0	0
XM_014076831.1	2643	2464	5	1.86985
XM_014076832.1	1905	1726	0	0
XM_014076833.1	378	199	0	0
XM_014076834.1	1590	1411	10	6.53055
XM_014076835.1	891	712	2	2.58837
XM_014076836.1	1149	970	20.3471	19.3289
XM_014076837.1	645	466	0	0
XM_014076838.1	453	274	0	0
XM_014076839.1	699	520	1	1.77204
XM_014076840.1	2520	2341	0	0
XM_014076841.1	1125	946	1	0.97406
XM_014076842.1	1830	1651	2	1.11625
XM_014076843.1	1998	1819	0	0
XM_014076844.1	411	232	3	11.9154
XM_014076845.1	801	622	0	0
XM_014076846.1	1431	1252	10	7.35991
XM_014076847.1	1245	1066	0	0
XM_014076848.1	531	352	0	0
XM_014076849.1	711	532	2	3.46414
XM_014076850.1	705	526	0	0
XM_014076851.1	570	391	200	471.335
XM_014076852.1	672	493	0	0
XM_014076853.1	906	727	235	297.859
XM_014076854.1	603	424	174	378.147
XM_014076855.1	540	361	0	0
XM_014076856.1	732	553	1	1.66629
XM_014076857.1	3069	2890	6	1.91307
XM_014076858.1	2022	1843	19	9.4996
XM_014076859.1	801	622	7	10.3701
XM_014076860.1	1815	1636	1	0.56324
XM_014076861.1	1362	1183	0	0
XM_014076862.1	4470	4291	68	14.6025
XM_014076863.1	1218	1039	9	7.98186
XM_014076864.1	906	727	5	6.33742
XM_014076865.1	1365	1186	3	2.33085
XM_014076866.1	2220	2041	2	0.90295
XM_014076867.1	585	406	15	34.0441
XM_014076868.1	891	712	0	0
XM_014076869.1	552	373	1	2.4704
XM_014076870.1	1707	1528	6	3.6183
XM_014076871.1	7188	7009	6	0.788809
XM_014076872.1	837	658	2	2.80079
XM_014076873.1	837	658	7	9.80277
XM_014076874.1	1767	1588	7	4.06186
XM_014076875.1	543	364	1	2.53149
XM_014076876.1	2628	2449	35	13.1691
XM_014076877.1	594	415	10	22.2039
XM_014076878.1	1263	1084	98	83.3055
XM_014076879.1	1143	964	14	13.3822
XM_014076880.1	1755	1576	1	0.584683
XM_014076881.1	1290	1111	0	0
XM_014076882.1	1095	916	38	38.2265
XM_014076883.1	3588	3409	15	4.05454
XM_014076884.1	4257	4078	2	0.451918
XM_014076885.1	1074	895	27	27.7983
XM_014076886.1	1263	1084	1	0.850056
XM_014076887.1	1044	865	0	0
XM_014076888.1	1644	1465	329	206.936
XM_014076889.1	1017	838	1	1.0996
XM_014076890.1	1098	919	3	3.00803
XM_014076891.1	1566	1387	9	5.9792
XM_014076892.1	1308	1129	1	0.816174
XM_014076893.1	1014	835	0	0
XM_014076894.1	1584	1405	13	8.52597
XM_014076895.1	768	589	1	1.56445
XM_014076896.1	1779	1600	8	4.6073
XM_014076897.1	5073	4894	94	17.6987
XM_014076898.1	1068	889	6	6.21908
XM_014076899.1	276	97.0001	1	9.49959
XM_014076900.1	3687	3508	45	11.8203
XM_014076901.1	2751	2572	2	0.716533
XM_014076902.1	3321	3142	24	7.03853
XM_014076903.1	894	715	23	29.6414
XM_014076904.1	1512	1333	0	0
XM_014076905.1	276	97.0001	1	9.49959
XM_014076906.1	453	274	17	57.1709
XM_014076907.1	351	172	32	171.435
XM_014076908.1	567	388	3	7.1247
XM_014076909.1	765	586	2	3.14492
XM_014076910.1	2589	2410	15	5.73523
XM_014076911.1	1641	1462	3	1.89082
XM_014076912.1	1710	1531	0	0
XM_014076913.1	1059	880	16	16.7538
XM_014076914.1	3099	2920	23	7.25808
XM_014076915.1	318	139	1	6.62921
XM_014076916.1	1887	1708	2	1.07899
XM_014076917.1	783	604	5	7.62799
XM_014076918.1	1749	1570	0	0
XM_014076919.1	1695	1516	3	1.82347
XM_014076920.1	1158	979	2	1.88245
XM_014076921.1	891	712	4	5.17675
XM_014076922.1	912	733	107	134.511
XM_014076923.1	837	658	1	1.4004
XM_014076924.1	1395	1216	14	10.6089
XM_014076925.1	1530	1351	2	1.36412
XM_014076926.1	882	703	5	6.55378
XM_014076927.1	1110	931	5	4.94877
XM_014076928.1	1092	913	1	1.00927
XM_014076929.1	3357	3178	16	4.6392
XM_014076930.1	2886	2707	12	4.08479
XM_014076931.1	2148	1969	0	0
XM_014076932.1	732	553	0	0
XM_014076933.1	846	667	54	74.601
XM_014076934.1	2682	2503	14	5.154
XM_014076935.1	1083	904	0	0
XM_014076936.1	1461	1282	2	1.43754
XM_014076937.1	936	757	3	3.65176
XM_014076938.1	2730	2551	1	0.361216
XM_014076939.1	792	613	0	0
XM_014076940.1	1968	1789	6	3.09042
XM_014076941.1	951	772	2	2.3872
XM_014076942.1	3198	3019	3	0.915662
XM_014076943.1	4119	3940	10	2.33873
XM_014076944.1	1137	958	0	0
XM_014076945.1	4752	4573	7	1.4105
XM_014076946.1	699	520	8	14.1763
XM_014076947.1	1707	1528	0	0
XM_014076948.1	2664	2485	3	1.11243
XM_014076949.1	2034	1855	23	11.4251
XM_014076950.1	657	478	0	0
XM_014076951.1	2349	2170	7	2.97245
XM_014076952.1	1332	1153	1	0.799185
XM_014076953.1	1146	967	11	10.482
XM_014076954.1	1233	1054	0	0
XM_014076955.1	432	253	10	36.4214
XM_014076956.1	567	388	0	0
XM_014076957.1	1200	1021	0	0
XM_014076958.1	408	229	40	160.954
XM_014076959.1	855	676	4	5.45243
XM_014076960.1	1200	1021	1	0.902508
XM_014076961.1	2808	2629	4	1.40199
XM_014076962.1	1122	943	16	15.6345
XM_014076963.1	801	622	1	1.48145
XM_014076964.1	1239	1060	0	0
XM_014076965.1	1365	1186	2	1.5539
XM_014076966.1	1146	967	4	3.81163
XM_014076967.1	2574	2395	1	0.384744
XM_014076968.1	690	511	0	0
XM_014076969.1	2091	1912	2	0.963871
XM_014076970.1	2862	2683	4	1.37378
XM_014076971.1	885	706	2	2.61037
XM_014076972.1	612	433	1	2.12809
XM_014076973.1	987	808	1	1.14042
XM_014076974.1	1371	1192	8	6.1843
XM_014076975.1	351	172	17	91.0746
XM_014076976.1	1941	1762	2	1.04593
XM_014076977.1	843	664	2	2.77548
XM_014076978.1	2313	2134	12	5.1816
XM_014076979.1	717	538	0	0
XM_014076980.1	741	562	1	1.63961
XM_014076981.1	2601	2422	0	0
XM_014076982.1	993	814	0	0
XM_014076983.1	1614	1435	0	0
XM_014076984.1	696	517	2	3.56465
XM_014076985.1	1461	1282	2	1.43754
XM_014076986.1	573	394	40	93.5493
XM_014076987.1	1005	826	0	0
XM_014076988.1	450	271	0	0
XM_014076989.1	1146	967	0	0
XM_014076990.1	393	214	22	94.7296
XM_014076991.1	3108	2929	14	4.40439
XM_014076992.1	2445	2266	4	1.62659
XM_014076993.1	1026	847	2	2.17582
XM_014076994.1	1353	1174	9	7.06401
XM_014076995.1	975	796	2	2.31523
XM_014076996.1	771	592	1	1.55652
XM_014076997.1	3273	3094	11	3.27604
XM_014076998.1	1623	1444	11	7.01944
XM_014076999.1	1755	1576	4	2.33873
XM_014077000.1	1440	1261	7	5.11517
XM_014077001.1	1740	1561	4	2.36121
XM_014077002.1	2127	1948	6	2.83818
XM_014077003.1	1500	1321	12	8.37058
XM_014077004.1	1662	1483	4	2.4854
XM_014077005.1	1047	868	3	3.18477
XM_014077006.1	1851	1672	25	13.7778
XM_014077007.1	1032	853	5	5.40129
XM_014077008.1	768	589	8	12.5156
XM_014077009.1	909	730	6	7.57365
XM_014077010.1	2229	2050	8	3.59594
XM_014077011.1	1380	1201	1196.79	918.234
XM_014077012.1	894	715	2	2.57751
XM_014077013.1	1815	1636	9	5.06916
XM_014077014.1	627	448	2	4.11366
XM_014077015.1	1086	907	17	17.271
XM_014077016.1	2331	2152	28	11.9893
XM_014077017.1	1227	1048	235	206.625
XM_014077018.1	3390	3211	19	5.45243
XM_014077019.1	570	391	24	56.5603
XM_014077020.1	2451	2272	54	21.9009
