target_id	length	eff_length	est_counts	tpm
NM_001178148.1	3483	3304	76	2.93158
NM_001178149.1	3825	3646	44	1.53803
NM_001178150.1	621	442	767	221.157
NM_001178151.1	1929	1750	1428.72	104.049
NM_001178152.1	648	469	54	14.674
NM_001178153.1	597	418	13	3.96364
NM_001178154.1	780	601	7	1.4844
NM_001178155.2	1482	1303	37	3.61897
NM_001178156.1	1878	1699	34	2.55043
NM_001178157.1	1185	1006	267	33.8252
NM_001178158.2	1218	1039	27	3.31189
NM_001178159.1	768	589	33	7.14046
NM_001178160.1	1200	1021	8	0.998601
NM_001178161.1	1908	1729	118	8.6979
NM_001178162.2	4071	3892	111	3.63478
NM_001178163.1	978	799	0	0
NM_001178164.1	3396	3217	159	6.29903
NM_001178165.2	1002	823	13	2.01313
NM_001178166.1	2514	2335	116	6.33139
NM_001178167.1	1554	1375	77	7.137
NM_001178168.1	2280	2101	264	16.0142
NM_001178169.1	4308	4129	80	2.46929
NM_001178170.2	921	742	120	20.6113
NM_001178171.2	4068	3889	168.773	5.53085
NM_001178172.1	786	607	5	1.04981
NM_001178173.1	1587	1408	5	0.45258
NM_001178174.1	4416	4237	213	6.40691
NM_001178175.1	354	175	19	13.837
NM_001178176.1	2283	2104	22	1.33261
NM_001178177.1	1140	961	12	1.59142
NM_001178178.1	522	343	6	2.22938
NM_001178179.1	870	691	5	0.922188
NM_001178180.1	3009	2830	850	38.279
NM_001178181.1	1110	931	81	11.0882
NM_001178182.1	804	625	5	1.01957
NM_001178183.1	1503	1324	6385	614.611
NM_001178184.1	810	631	8	1.6158
NM_001178185.1	1743	1564	66	5.37817
NM_001178186.1	2565	2386	102	5.44825
NM_001178187.1	1248	1069	133	15.8563
NM_001178188.1	2358	2179	45	2.63198
NM_001178189.1	513	334	81	30.9077
NM_001178191.1	357	178	4	2.86396
NM_001178192.2	1869	1690	22	1.65907
NM_001178193.1	1989	1810	19	1.33784
NM_001178194.1	741	562	30	6.80319
NM_001178195.2	3144	2965	58	2.49305
NM_001178196.2	2352	2173	85	4.98525
NM_001178197.1	2142	1963	6	0.389546
NM_001178198.1	543	364	9	3.15115
NM_001178199.2	2643	2464	43	2.22411
NM_001178200.1	1509	1330	24	2.29979
NM_001178201.2	639	460	17	4.70998
NM_001178202.2	1149	970	62	8.14606
