target_id	length	eff_length	est_counts	tpm
XM_014076697.1	594	415	5	2.90156
XM_014076698.1	1599	1420	8	1.35678
XM_014076699.1	1512	1333	8	1.44534
XM_014076700.1	1479	1300	9	1.66728
XM_014076701.1	1074	895	13	3.49808
XM_014076702.1	1794	1615	22	3.28065
XM_014076703.1	1044	865	2	0.556831
XM_014076704.1	1512	1333	2	0.361334
XM_014076705.1	1659	1480	0	0
XM_014076706.1	1608	1429	1	0.16853
XM_014076707.1	1680	1501	17	2.72758
XM_014076708.1	1656	1477	0	0
XM_014076709.1	1083	904	0	0
XM_014076710.1	1164	985	10	2.44497
XM_014076711.1	858	679	9	3.19214
XM_014076712.1	1320	1141	1	0.211069
XM_014076713.1	1089	910	112	29.6405
XM_014076714.1	1572	1393	11	1.90174
XM_014076715.1	930	751	6	1.92407
XM_014076716.1	606	427	1	0.564003
XM_014076717.1	1008	829	35	10.1677
XM_014076718.1	1269	1090	21	4.63983
XM_014076719.1	1035	856	2	0.562685
XM_014076720.1	1317	1138	160	33.86
XM_014076721.1	1023	844	16	4.56548
XM_014076722.1	3480	3301	14	1.02139
XM_014076723.1	1911	1732	69	9.59424
XM_014076724.1	621	442	52	28.3329
XM_014076725.1	1329	1150	162	33.9255
XM_014076726.1	1839	1660	152	22.0518
XM_014076727.1	1011	832	16	4.63133
XM_014076728.1	1023	844	22	6.27754
XM_014076729.1	993	814	30	8.87577
XM_014076730.1	4050	3871	35	2.17748
XM_014076731.1	1710	1531	10	1.57302
XM_014076732.1	465	286	29	24.4198
XM_014076733.1	1083	904	9	2.39764
XM_014076734.1	201	27.2129	0	0
XM_014076735.1	750	571	103	43.4421
XM_014076736.1	2883	2704	29	2.58286
XM_014076737.1	2274	2095	21	2.41404
XM_014076738.1	2487	2308	12	1.25215
XM_014076739.1	486	307	1	0.78446
XM_014076740.1	537	358	0	0
XM_014076741.1	426	247	51	49.7259
XM_014076742.1	1119	940	22	5.63643
XM_014076743.1	978	799	2	0.602827
XM_014076744.1	1236	1057	8	1.82274
XM_014076745.1	2007	1828	71	9.35387
XM_014076746.1	2358	2179	74	8.17869
XM_014076747.1	1359	1180	5	1.02046
XM_014076748.1	1296	1117	31	6.68371
XM_014076749.1	1572	1393	8	1.38308
XM_014076750.1	3171	2992	56	4.5075
XM_014076751.1	828	649	1	0.371078
XM_014076752.1	1035	856	31	8.72162
XM_014076753.1	813	634	42	15.954
XM_014076754.1	1938	1759	7280.05	996.731
XM_014076755.1	843	664	38	13.7824
XM_014076756.1	1044	865	26	7.2388
XM_014076757.1	1440	1261	7	1.33688
XM_014076758.1	408	229	31	32.6013
XM_014076759.1	4611	4432	90	4.89049
XM_014076760.1	1224	1045	14	3.22642
XM_014076761.1	246	67.0317	3	10.7783
XM_014076762.1	2310	2131	10	1.13012
XM_014076763.1	690	511	143	67.3945
XM_014076764.1	1014	835	312	89.9865
XM_014076765.1	1500	1321	25	4.55771
XM_014076766.1	1938	1759	5	0.684563
XM_014076767.1	1566	1387	51	8.8553
XM_014076768.1	978	799	14	4.21979
XM_014076769.1	2301	2122	125	14.1865
XM_014076770.1	1020	841	10	2.86361
XM_014076771.1	900	721	25	8.35053
XM_014076772.1	819	640	1	0.376296
XM_014076773.1	1596	1417	6	1.01974
XM_014076774.1	1644	1465	2	0.328777
XM_014076775.1	1863	1684	35	5.00536
XM_014076776.1	1635	1456	53	8.76645
XM_014076777.1	1077	898	7	1.87729
XM_014076778.1	1245	1066	26	5.87389
XM_014076779.1	2139	1960	335	41.1622
XM_014076780.1	561	382	35	22.0655
XM_014076781.1	1668	1489	240	38.8174
XM_014076782.1	2472	2293	102	10.7129
XM_014076783.1	1971	1792	36	4.83809
XM_014076784.1	2157	1978	40	4.87016
XM_014076785.1	1722	1543	682	106.446
XM_014076786.1	1437	1258	97	18.5695
XM_014076787.1	1044	865	28	7.79563
XM_014076788.1	273	94.0001	22	56.3642
XM_014076789.1	2721	2542	43	4.07382
XM_014076790.1	1047	868	55	15.2599
XM_014076791.1	2358	2179	48	5.3051
XM_014076792.1	741	562	4	1.71409
XM_014076793.1	1296	1117	8	1.72483
XM_014076794.1	1524	1345	20	3.58111
XM_014076795.1	2724	2545	15	1.41943
XM_014076796.1	4428	4249	39	2.21048
XM_014076797.1	2211	2032	481	57.0073
XM_014076798.1	1335	1156	23	4.79159
XM_014076799.1	1686	1507	30	4.79421
XM_014076800.1	1242	1063	85	19.2573
XM_014076801.1	1650	1471	10	1.63718
XM_014076802.1	2634	2455	27	2.64863
XM_014076803.1	1947	1768	0	0
XM_014076804.1	6549	6370	3	0.11342
XM_014076805.1	888	709	4	1.3587
XM_014076806.1	2529	2350	840	86.0837
XM_014076807.1	2142	1963	96	11.7777
XM_014076808.1	1248	1069	7	1.57699
XM_014076809.1	1119	940	30	7.68604
XM_014076810.1	633	454	65	34.48
XM_014076811.1	441	262	36	33.0911
XM_014076812.1	2499	2320	1140	118.339
XM_014076813.1	1008	829	16	4.64809
XM_014076814.1	1296	1117	24	5.17449
XM_014076815.1	231	52.2911	0	0
XM_014076816.1	963	784	13	3.99334
XM_014076817.1	741	562	20	8.57044
XM_014076818.1	1752	1573	45	6.88959
XM_014076819.1	903	724	30	9.97912
XM_014076820.1	519	340	389	275.537
XM_014076821.1	2538	2359	19	1.9397
XM_014076822.1	1551	1372	27	4.73935
XM_014076823.1	1665	1486	1	0.162065
XM_014076824.1	1209	1030	14	3.27341
XM_014076825.1	1209	1030	7	1.6367
XM_014076826.1	1290	1111	37	8.02042
XM_014076827.1	900	721	13	4.34228
XM_014076828.1	2160	1981	22	2.67453
XM_014076829.1	255	76.0064	25	79.2135
XM_014076830.1	537	358	23	15.4723
XM_014076831.1	2643	2464	38	3.71409
XM_014076832.1	1905	1726	5	0.697652
XM_014076833.1	378	199	5	6.05099
XM_014076834.1	1590	1411	22	3.75496
XM_014076835.1	891	712	15	5.07365
XM_014076836.1	1149	970	11.1698	2.7732
XM_014076837.1	645	466	38	19.6384
XM_014076838.1	453	274	3	2.63682
XM_014076839.1	699	520	8	3.70507
XM_014076840.1	2520	2341	4	0.411498
XM_014076841.1	1125	946	1	0.254576
XM_014076842.1	1830	1651	6	0.875213
XM_014076843.1	1998	1819	33	4.36909
XM_014076844.1	411	232	7	7.2664
XM_014076845.1	801	622	18	6.96934
XM_014076846.1	1431	1252	400	76.9423
XM_014076847.1	1245	1066	1	0.225919
XM_014076848.1	531	352	0	0
XM_014076849.1	711	532	2	0.905373
XM_014076850.1	705	526	0	0
XM_014076851.1	570	391	226	139.201
XM_014076852.1	672	493	0	0
XM_014076853.1	906	727	278	92.0915
XM_014076854.1	603	424	263	149.382
XM_014076855.1	540	361	2	1.33423
XM_014076856.1	732	553	1	0.435496
XM_014076857.1	3069	2890	122	10.1665
XM_014076858.1	2022	1843	35	4.57354
XM_014076859.1	801	622	163	63.1112
XM_014076860.1	1815	1636	5	0.736031
XM_014076861.1	1362	1183	0	0
XM_014076862.1	4470	4291	161	9.03601
XM_014076863.1	1218	1039	31	7.18548
XM_014076864.1	906	727	5	1.65632
XM_014076865.1	1365	1186	1	0.20306
XM_014076866.1	2220	2041	3	0.353987
XM_014076867.1	585	406	26	15.4226
XM_014076868.1	891	712	11	3.72068
XM_014076869.1	552	373	14	9.03917
XM_014076870.1	1707	1528	57	8.98382
XM_014076871.1	7188	7009	63	2.16468
XM_014076872.1	837	658	14	5.12403
XM_014076873.1	837	658	23	8.41805
XM_014076874.1	1767	1588	90	13.649
XM_014076875.1	543	364	36	23.8183
XM_014076876.1	2628	2449	127	12.4889
XM_014076877.1	594	415	32	18.57
XM_014076878.1	1263	1084	133	29.5482
XM_014076879.1	1143	964	35	8.7438
XM_014076880.1	1755	1576	16	2.44497
XM_014076881.1	1290	1111	7	1.51738
XM_014076882.1	1095	916	168	44.1696
XM_014076883.1	3588	3409	198	13.9877
XM_014076884.1	4257	4078	25	1.47639
XM_014076885.1	1074	895	37	9.95607
XM_014076886.1	1263	1084	50	11.1084
XM_014076887.1	1044	865	22	6.12514
XM_014076888.1	1644	1465	416	68.3857
XM_014076889.1	1017	838	29	8.33419
XM_014076890.1	1098	919	120	31.4467
XM_014076891.1	1566	1387	133	23.0932
XM_014076892.1	1308	1129	26	5.54611
