target_id	length	eff_length	est_counts	tpm
XM_014076697.1	594	415	0	0
XM_014076698.1	1599	1420	1	0.471488
XM_014076699.1	1512	1333	0	0
XM_014076700.1	1479	1300	0	0
XM_014076701.1	1074	895	10	7.48059
XM_014076702.1	1794	1615	1	0.414559
XM_014076703.1	1044	865	3	2.32201
XM_014076704.1	1512	1333	0	0
XM_014076705.1	1659	1480	0	0
XM_014076706.1	1608	1429	0	0
XM_014076707.1	1680	1501	4	1.78418
XM_014076708.1	1656	1477	0	0
XM_014076709.1	1083	904	1	0.740611
XM_014076710.1	1164	985	2	1.35942
XM_014076711.1	858	679	4	3.94411
XM_014076712.1	1320	1141	0	0
XM_014076713.1	1089	910	22	16.186
XM_014076714.1	1572	1393	1	0.480626
XM_014076715.1	930	751	2	1.78299
XM_014076716.1	606	427	0	0
XM_014076717.1	1008	829	7	5.6533
XM_014076718.1	1269	1090	3	1.84269
XM_014076719.1	1035	856	1	0.782141
XM_014076720.1	1317	1138	13	7.64821
XM_014076721.1	1023	844	2	1.58652
XM_014076722.1	3480	3301	0	0
XM_014076723.1	1911	1732	44	17.0084
XM_014076724.1	621	442	5	7.57367
XM_014076725.1	1329	1150	3	1.74655
XM_014076726.1	1839	1660	21	8.46974
XM_014076727.1	1011	832	1	0.804702
XM_014076728.1	1023	844	4	3.17304
XM_014076729.1	993	814	1	0.822497
XM_014076730.1	4050	3871	5	0.86478
XM_014076731.1	1710	1531	1	0.437304
XM_014076732.1	465	286	1	2.34095
XM_014076733.1	1083	904	2	1.48122
XM_014076734.1	201	27.2129	0	0
XM_014076735.1	750	571	7	8.20768
XM_014076736.1	2883	2704	7	1.73321
XM_014076737.1	2274	2095	0	0
XM_014076738.1	2487	2308	9	2.61075
XM_014076739.1	486	307	0	0
XM_014076740.1	537	358	0	0
XM_014076741.1	426	247	9	24.3952
XM_014076742.1	1119	940	2	1.42449
XM_014076743.1	978	799	0	0
XM_014076744.1	1236	1057	0	0
XM_014076745.1	2007	1828	8	2.93003
XM_014076746.1	2358	2179	9	2.76531
XM_014076747.1	1359	1180	3	1.70215
