target_id	length	eff_length	est_counts	tpm
NM_001178148.1	3483	3304	16	1.94046
NM_001178149.1	3825	3646	7	0.769319
NM_001178150.1	621	442	166	150.491
NM_001178151.1	1929	1750	1108.85	253.897
NM_001178152.1	648	469	7	5.98068
NM_001178153.1	597	418	3	2.87588
NM_001178154.1	780	601	3	2.00019
NM_001178155.2	1482	1303	3	0.922576
NM_001178156.1	1878	1699	2	0.471695
NM_001178157.1	1185	1006	81	32.2635
NM_001178158.2	1218	1039	3	1.15699
NM_001178159.1	768	589	4	2.72126
NM_001178160.1	1200	1021	1	0.392464
NM_001178161.1	1908	1729	26	6.02564
NM_001178162.2	4071	3892	40	4.11825
NM_001178163.1	978	799	1	0.501509
NM_001178164.1	3396	3217	19	2.36662
NM_001178165.2	1002	823	1	0.486884
NM_001178166.1	2514	2335	31	5.31986
NM_001178167.1	1554	1375	11	3.20564
NM_001178168.1	2280	2101	62	11.8247
NM_001178169.1	4308	4129	8	0.776373
NM_001178170.2	921	742	20	10.8007
NM_001178171.2	4068	3889	29.9841	3.08943
NM_001178172.1	786	607	1	0.660141
NM_001178173.1	1587	1408	6	1.70755
NM_001178174.1	4416	4237	33	3.12091
NM_001178175.1	354	175	2	4.57949
NM_001178176.1	2283	2104	5	0.952246
NM_001178177.1	1140	961	3	1.2509
NM_001178178.1	522	343	1	1.16824
NM_001178179.1	870	691	0	0
NM_001178180.1	3009	2830	169	23.929
NM_001178181.1	1110	931	22	9.46887
NM_001178182.1	804	625	0	0
NM_001178183.1	1503	1324	1887	571.096
NM_001178184.1	810	631	4	2.54013
NM_001178185.1	1743	1564	18	4.6117
NM_001178186.1	2565	2386	12	2.01528
NM_001178187.1	1248	1069	28	10.4956
NM_001178188.1	2358	2179	8	1.47115
NM_001178189.1	513	334	19	22.7946
NM_001178191.1	357	178	2	4.50231
NM_001178192.2	1869	1690	6	1.42262
NM_001178193.1	1989	1810	1	0.221384
NM_001178194.1	741	562	4	2.852
NM_001178195.2	3144	2965	13	1.75689
NM_001178196.2	2352	2173	27	4.97885
NM_001178197.1	2142	1963	2	0.408258
NM_001178198.1	543	364	1	1.10084
NM_001178199.2	2643	2464	3	0.487872
NM_001178200.1	1509	1330	3	0.903847
NM_001178201.2	639	460	4	3.48439
NM_001178202.2	1149	970	32	13.2191
NM_001178203.1	1254	1075	15	5.59124
NM_001178204.1	1374	1195	9	3.01786
NM_001178205.1	3969	3790	5.03968	0.532831
NM_001178206.2	285	106	0	0
NM_001178208.1	1782	1603	0	0
NM_001178209.1	1620	1441	18	5.00534
NM_001178210.1	1281	1102	3	1.09085
NM_001178211.1	1866	1687	15	3.56288
NM_001178212.1	828	649	1	0.61742
NM_001178213.1	3591	3412	156.231	18.3478
NM_001178214.1	1323	1144	0	0
NM_001178215.2	2130	1951	17	3.49154
NM_001178216.1	921	742	30	16.201
NM_001178217.1	1308	1129	6	2.12952
NM_001178218.2	2925	2746	9	1.31331
NM_001178219.1	168	12.9312	0	0
NM_001178220.2	540	361	1	1.10999
NM_001178221.1	708	529	11	8.33225
NM_001178222.1	705	526	3	2.28539
NM_001178223.1	225	46.6066	0	0
NM_001178224.1	897	718	5.1582	2.87872
NM_001178225.1	705	526	1	0.761797
NM_001178226.1	2064	1885	1	0.212576
NM_001178227.1	3567	3388	31	3.66643
